성별,이름,키,몸무게,오래달리기,앉아윗몸앞으로굽히기,윗몸말아올리기,50M 달리기,등급,시력_좌안,시력_우안
여,A,158.1,52.4,81,14,43,9.16,2,0.8,0.7
남,B,149.5,46,61,2.5,22,10.35,3,0.8,0.2
여,C,150.3,55.5,32,6.5,6,10.4,4,0.8,1
여,D,148.5,40.5,70,20,42,11.1,2,0.9,0.7
남,E,162.9,45.9,131,-5,91,8.22,2,,
여,F,154.3,42.5,47,26,31,11.69,2,,
남,G,151.6,47.1,80,-6,30,9.23,3,0.9,0.8
남,H,148.7,48,80,3.5,68,10.46,3,,
여,I,157.1,48.2,51,10,22,10.23,3,0.4,0.9
남,J,150.3,56.5,34,-4,16,10.4,4,1,0.8
여,K,163,45,105,11.5,43,10.11,2,1.5,1
남,L,153.9,63.3,80,-6,66,8.55,3,0.7,1
남,M,144,36.8,100,19.5,67,8.76,1,1,1.5
남,N,169.2,65,81,21,60,8.57,2,1.2,1.5
여,O,146.8,35.5,43,7.5,17,11.14,3,1,1
남,P,159.5,72.3,56,2,11,10.43,4,1,0.6
여,Q,148.5,36.4,43,20,13,11.29,3,0.6,0.7
여,R,147,36.5,87,25.5,42,9.51,2,0.5,0.7
남,S,150.6,37.4,127,-5,40,10.01,3,0.9,0.9
남,T,155.7,68.8,36,4.5,8,11.69,4,0.9,1.5
여,U,161,52.9,81,26.5,50,9.62,2,0.9,1.5
남,V,163.5,68.5,65,6,39,9.7,3,0.7,0.3
여,W,155.4,44.6,94,18.5,64,9.5,1,1.5,1.5
